soilBearingCapacity,loadsActing,ironQuality,sandType,noOfRows,noOfCols,noOfStairs,earthquakeLoad,windLoad,concreteMix,years,price
deep,dead,High,concrete,3,2,2,prone,100,1,25,3600000
deep,dead,High,pit,3,2,2,prone,100,2,30,3600000
deep,dead,High,utility,3,2,2,prone,100,3,33,3600000
deep,dead,High,fill,3,2,2,prone,100,4,35,3600000
deep,dead,High,concrete,3,2,2,prone,100,5,24,3600000
deep,dead,High,pit,3,2,2,prone,100,6,20,3600000
deep,dead,High,utility,3,2,2,prone,200,1,16,6200000
deep,dead,High,fill,3,2,2,prone,200,2,18,6200000
deep,dead,High,concrete,3,2,2,prone,200,3,19,6200000
deep,dead,High,pit,3,2,2,prone,200,4,25,6200000
deep,dead,High,utility,3,2,2,prone,200,5,17,6200000
deep,dead,High,fill,3,2,2,prone,200,6,15,6200000
deep,dead,High,concrete,3,2,2,prone,300,1,20,8800000
deep,dead,High,pit,3,2,2,prone,300,2,25,8800000
deep,dead,High,utility,3,2,2,prone,300,3,27,8800000
deep,dead,High,fill,3,2,2,prone,300,4,21,8800000
deep,dead,High,concrete,3,2,2,prone,300,5,28,8800000
deep,dead,High,pit,3,2,2,prone,300,6,26,8800000
deep,dead,High,utility,3,2,2,prone,500,1,17,14000000
deep,dead,High,fill,3,2,2,prone,500,2,19,14000000
deep,dead,High,concrete,3,2,2,prone,500,3,21,14000000
deep,dead,High,pit,3,2,2,prone,500,4,25,14000000
deep,dead,High,utility,3,2,2,prone,500,5,17,14000000
deep,dead,High,fill,3,2,2,prone,500,6,16,14000000
deep,dead,High,concrete,3,2,2,notProne,100,1,95,3600000
deep,dead,High,pit,3,2,2,notProne,100,2,92,3600000
deep,dead,High,utility,3,2,2,notProne,100,3,88,3600000
deep,dead,High,fill,3,2,2,notProne,100,4,90,3600000
deep,dead,High,concrete,3,2,2,notProne,100,5,82,3600000
deep,dead,High,pit,3,2,2,notProne,100,6,80,3600000
deep,dead,High,utility,3,2,2,notProne,200,1,83,6200000
deep,dead,High,fill,3,2,2,notProne,200,2,84,6200000
deep,dead,High,concrete,3,2,2,notProne,200,3,80,6200000
deep,dead,High,pit,3,2,2,notProne,200,4,85,6200000
deep,dead,High,utility,3,2,2,notProne,200,5,82,6200000
deep,dead,High,fill,3,2,2,notProne,200,6,78,6200000
deep,dead,High,concrete,3,2,2,notProne,300,1,90,8800000
deep,dead,High,pit,3,2,2,notProne,300,2,87,8800000
deep,dead,High,utility,3,2,2,notProne,300,3,83,8800000
deep,dead,High,fill,3,2,2,notProne,300,4,85,8800000
deep,dead,High,concrete,3,2,2,notProne,300,5,77,8800000
deep,dead,High,pit,3,2,2,notProne,300,6,75,8800000
deep,dead,High,utility,3,2,2,notProne,500,1,78,14000000
deep,dead,High,fill,3,2,2,notProne,500,2,79,14000000
deep,dead,High,concrete,3,2,2,notProne,500,3,75,14000000
deep,dead,High,pit,3,2,2,notProne,500,4,80,14000000
deep,dead,High,utility,3,2,2,notProne,500,5,77,14000000
deep,dead,High,fill,3,2,2,notProne,500,6,73,14000000
deep,dead,High,concrete,3,2,6,prone,200,1,29,16600000
deep,dead,High,pit,3,2,6,prone,200,2,34,16600000
deep,dead,High,utility,3,2,6,prone,200,3,37,16600000
deep,dead,High,fill,3,2,6,prone,200,4,39,16600000
deep,dead,High,concrete,3,2,6,prone,200,5,28,16600000
deep,dead,High,pit,3,2,6,prone,200,6,24,16600000
deep,dead,High,utility,3,2,6,prone,300,1,20,24400000
deep,dead,High,fill,3,2,6,prone,300,2,22,24400000
deep,dead,High,concrete,3,2,6,prone,300,3,23,24400000
deep,dead,High,pit,3,2,6,prone,300,4,29,24400000
deep,dead,High,utility,3,2,6,prone,300,5,21,24400000
deep,dead,High,fill,3,2,6,prone,300,6,19,24400000
deep,dead,High,concrete,3,2,6,prone,500,1,24,40000000
deep,dead,High,pit,3,2,6,prone,500,2,29,40000000
deep,dead,High,utility,3,2,6,prone,500,3,31,40000000
deep,dead,High,fill,3,2,6,prone,500,4,25,40000000
deep,dead,High,concrete,3,2,6,prone,500,5,32,40000000
deep,dead,High,pit,3,2,6,prone,500,6,30,40000000
deep,dead,High,utility,3,2,6,notProne,100,1,85,8800000
deep,dead,High,fill,3,2,6,notProne,100,2,82,8800000
deep,dead,High,concrete,3,2,6,notProne,100,3,78,8800000
deep,dead,High,pit,3,2,6,notProne,100,4,80,8800000
deep,dead,High,utility,3,2,6,notProne,100,5,72,8800000
deep,dead,High,fill,3,2,6,notProne,100,6,70,8800000
deep,dead,High,concrete,3,2,6,notProne,200,1,73,16600000
deep,dead,High,pit,3,2,6,notProne,200,2,74,16600000
deep,dead,High,utility,3,2,6,notProne,200,3,70,16600000
deep,dead,High,fill,3,2,6,notProne,200,4,75,16600000
deep,dead,High,concrete,3,2,6,notProne,200,5,72,16600000
deep,dead,High,pit,3,2,6,notProne,200,6,68,16600000
deep,dead,High,utility,3,2,6,notProne,300,1,80,24400000
deep,dead,High,fill,3,2,6,notProne,300,2,77,24400000
deep,dead,High,concrete,3,2,6,notProne,300,3,73,24400000
deep,dead,High,pit,3,2,6,notProne,300,4,75,24400000
deep,dead,High,utility,3,2,6,notProne,300,5,67,24400000
deep,dead,High,fill,3,2,6,notProne,300,6,65,24400000
deep,dead,High,concrete,3,2,6,notProne,500,1,68,40000000
deep,dead,High,pit,3,2,6,notProne,500,2,69,40000000
deep,dead,High,utility,3,2,6,notProne,500,3,65,40000000
deep,dead,High,fill,3,2,6,notProne,500,4,70,40000000
deep,dead,High,concrete,3,2,6,notProne,500,5,67,40000000
deep,dead,High,pit,3,2,6,notProne,500,6,63,40000000
deep,dead,High,utility,3,2,10,prone,100,1,24,14000000
deep,dead,High,fill,3,2,10,prone,100,2,29,14000000
deep,dead,High,concrete,3,2,10,prone,100,3,33,14000000
deep,dead,High,pit,3,2,10,prone,100,4,34,14000000
deep,dead,High,utility,3,2,10,prone,100,5,24,14000000
deep,dead,High,fill,3,2,10,prone,100,6,20,14000000
deep,dead,High,concrete,3,2,10,prone,200,1,16,27000000
deep,dead,High,pit,3,2,10,prone,200,2,18,27000000
deep,dead,High,utility,3,2,10,prone,200,3,19,27000000
deep,dead,High,fill,3,2,10,prone,200,4,20,27000000
deep,dead,High,concrete,3,2,10,prone,200,5,16,27000000
deep,dead,High,pit,3,2,10,prone,200,6,14,27000000
deep,dead,High,utility,3,2,10,prone,300,1,19,40000000
deep,dead,High,fill,3,2,10,prone,300,2,24,40000000
deep,dead,High,concrete,3,2,10,prone,300,3,26,40000000
deep,dead,High,pit,3,2,10,prone,300,4,21,40000000
deep,dead,High,utility,3,2,10,prone,300,5,27,40000000
deep,dead,High,fill,3,2,10,prone,300,6,25,40000000
deep,dead,High,concrete,3,2,10,prone,500,1,19,66000000
deep,dead,High,pit,3,2,10,prone,500,2,18,66000000
deep,dead,High,utility,3,2,10,prone,500,3,15,66000000
deep,dead,High,fill,3,2,10,prone,500,4,17,66000000
deep,dead,High,concrete,3,2,10,prone,500,5,20,66000000
deep,dead,High,pit,3,2,10,prone,500,6,18,66000000
deep,dead,High,utility,3,2,10,notProne,100,1,80,14000000
deep,dead,High,fill,3,2,10,notProne,100,2,77,14000000
deep,dead,High,concrete,3,2,10,notProne,100,3,73,14000000
deep,dead,High,pit,3,2,10,notProne,100,4,75,14000000
deep,dead,High,utility,3,2,10,notProne,100,5,67,14000000
deep,dead,High,fill,3,2,10,notProne,100,6,65,14000000
deep,dead,High,concrete,3,2,10,notProne,200,1,68,27000000
deep,dead,High,pit,3,2,10,notProne,200,2,69,27000000
deep,dead,High,utility,3,2,10,notProne,200,3,65,27000000
deep,dead,High,fill,3,2,10,notProne,200,4,70,27000000
deep,dead,High,concrete,3,2,10,notProne,200,5,67,27000000
deep,dead,High,pit,3,2,10,notProne,200,6,63,27000000
deep,dead,High,utility,3,2,10,notProne,300,1,75,40000000
deep,dead,High,fill,3,2,10,notProne,300,2,72,40000000
deep,dead,High,concrete,3,2,10,notProne,300,3,67,40000000
deep,dead,High,pit,3,2,10,notProne,300,4,70,40000000
deep,dead,High,utility,3,2,10,notProne,300,5,72,40000000
deep,dead,High,fill,3,2,10,notProne,300,6,60,40000000
deep,dead,High,concrete,3,2,10,notProne,500,1,63,66000000
deep,dead,High,pit,3,2,10,notProne,500,2,64,66000000
deep,dead,High,utility,3,2,10,notProne,500,3,60,66000000
deep,dead,High,fill,3,2,10,notProne,500,4,65,66000000
deep,dead,High,concrete,3,2,10,notProne,500,5,62,66000000
deep,dead,High,pit,3,2,10,notProne,500,6,59,66000000
